
Note: None of this information is accurate, it's all 
mimicked from the example file in the documentation
for the ISCAN ETL-200. It's in the ASCII format as
one would expect when using something like the 
ISCAN model RK-716 as used here: 
https://doi.org/10.1152/jn.00290.2023

RUN INFORMATION TABLE

Run # Date Start Time Samples Samps/Sec Run Secs Image
File Description
1 2011/06/30 14:09:24   1022      120     8.52
default.igr New Data Run

DATA SUMMARY TABLE

                   Raw     Raw
Run #   Param      Mean    StdDev
    1 
        Pupil H1  302.49   62.1576
        Pupil V1  146.49   9.6055
        Pupil D1  87.63    1.5796
        P-CR H1  -26.11    26.2626
        P-CR V1  -25.11    4.3004

DATA INFO (randomly generated within a threshold)

Run 1:      Pupil H1 Pupil V1 Pupil D1 P-CR H1 P-CR V1
Sample       (Raw)     (Raw)    (Raw)   (Raw)    (Raw)
  72         241.47    136.98    87.06    -2.48    -28.21
  73         241.2    135.01    87.66    -2.47    -28.43
  74         243.74    136.97    89.71    -2.41    -28.29
  75         241.32    138.71    89.71    -2.14    -28.32
  76         240.11    135.41    88.8    -2.21    -28.32
  77         244.67    135.09    88.47    -2.16    -28.38
  78         243.61    136.76    87.16    -2.6    -28.38
  79         243.06    135.97    88.56    -1.67    -28.5
  80         243.31    136.39    87.43    -1.58    -28.5
  81         243.69    138.23    87.67    -1.93    -28.27
  82         243.44    139.69    87.12    -2.05    -28.24
  83         240.98    135.73    89.72    -2.85    -28.04
  84         244.71    136.37    89.88    -2.29    -28.47
  85         242.4    137.5    88.45    -2.75    -28.3
  86         243.33    137.61    89.82    -2.68    -28.01
  87         244.88    139.4    87.88    -2.68    -28.44
  88         243.72    137.79    87.2    -2.32    -28.33
  89         241.57    135.35    89.94    -1.5    -28.11
  90         244.57    135.97    87.0    -2.43    -28.2
  91         243.06    138.04    88.87    -2.29    -28.16
  92         243.14    136.8    87.61    -2.9    -28.3
  93         244.71    139.61    89.93    -2.23    -28.43
  94         241.28    137.94    88.4    -1.88    -28.49
  95         241.75    139.35    89.82    -2.59    -28.06
  96         244.18    138.95    89.84    -2.89    -28.32
  97         241.46    138.49    89.61    -2.27    -28.2
  98         244.72    136.11    89.7    -2.17    -28.5
  99         243.41    139.7    88.16    -2.19    -28.39
  100         242.79    137.63    87.69    -2.42    -28.24
  101         241.69    138.46    89.6    -2.44    -28.21
  102         241.38    135.5    87.58    -1.78    -28.43
  103         244.99    137.57    89.1    -1.94    -28.18
  104         244.2    137.22    88.45    -1.78    -28.1
  105         240.29    135.87    88.55    -2.13    -28.29
  106         244.44    136.66    88.8    -2.06    -28.37
  107         244.8    137.03    88.95    -2.07    -28.08
  108         240.91    137.46    88.5    -1.52    -28.34
